title,url,platform,content_type
Titanic,https://www.justwatch.com/in/movie/titanic,JioHotstar,movie
Hridayam,https://www.justwatch.com/in/movie/hridayam,JioHotstar,movie
300,https://www.justwatch.com/in/movie/300,JioHotstar,movie
Geetha Govindam,https://www.justwatch.com/in/movie/geetha-govindam,JioHotstar,movie
Rangasthalam,https://www.justwatch.com/in/movie/rangasthalam,JioHotstar,movie
Inception,https://www.justwatch.com/in/movie/inception,JioHotstar,movie
Iron Man,https://www.justwatch.com/in/movie/iron-man,JioHotstar,movie
The Lunchbox,https://www.justwatch.com/in/movie/the-lunchbox,JioHotstar,movie
Strange Days,https://www.justwatch.com/in/movie/strange-days,JioHotstar,movie
The Amazing Spider-Man,https://www.justwatch.com/in/movie/the-amazing-spider-man,JioHotstar,movie
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.justwatch.com/in/movie/pirates-of-the-caribbean-the-curse-of-the-black-pearl,JioHotstar,movie
The Lord of the Rings: The Fellowship of the Ring,https://www.justwatch.com/in/movie/the-lord-of-the-rings-the-fellowship-of-the-ring,JioHotstar,movie
Chhichhore,https://www.justwatch.com/in/movie/chhichhore,JioHotstar,movie
Avengers: Infinity War,https://www.justwatch.com/in/movie/avengers-infinity-war,JioHotstar,movie
Weapons,https://www.justwatch.com/in/movie/weapons-2025,JioHotstar,movie
Bugonia,https://www.justwatch.com/in/movie/bugonia,JioHotstar,movie
Bāhubali: The Beginning,https://www.justwatch.com/in/movie/baahubali-the-beginning,JioHotstar,movie
The Devil's Bride,https://www.justwatch.com/in/movie/the-devils-bride,JioHotstar,movie
K.G.F: Chapter 1,https://www.justwatch.com/in/movie/k-g-f-chapter-1,JioHotstar,movie
Sisu,https://www.justwatch.com/in/movie/sisu-2023,JioHotstar,movie
The Brutalist,https://www.justwatch.com/in/movie/the-brutalist,JioHotstar,movie
Spider-Man: Far From Home,https://www.justwatch.com/in/movie/spider-man-far-from-home,JioHotstar,movie
Sing 2,https://www.justwatch.com/in/movie/sing-2,JioHotstar,movie
Toy Story,https://www.justwatch.com/in/movie/toy-story,JioHotstar,movie
First Man,https://www.justwatch.com/in/movie/first-man,JioHotstar,movie
Atonement,https://www.justwatch.com/in/movie/atonement,JioHotstar,movie
Superman,https://www.justwatch.com/in/movie/superman-2025,JioHotstar,movie
Hello!,https://www.justwatch.com/in/movie/hello-2017,JioHotstar,movie
Ved,https://www.justwatch.com/in/movie/ved,JioHotstar,movie
Man of Steel,https://www.justwatch.com/in/movie/man-of-steel,JioHotstar,movie
The Godfather,https://www.justwatch.com/in/movie/the-godfather,JioHotstar,movie
12th Fail,https://www.justwatch.com/in/movie/12th-fail,JioHotstar,movie
Inglourious Basterds,https://www.justwatch.com/in/movie/inglourious-basterds,JioHotstar,movie
Wardriver,https://www.justwatch.com/in/movie/wardriver,JioHotstar,movie
Oppenheimer,https://www.justwatch.com/in/movie/oppenheimer,JioHotstar,movie
Total Dhamaal,https://www.justwatch.com/in/movie/total-dhamaal,JioHotstar,movie
